,text,IPA
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1013.wav,unknown,t i a p ʌ l a j e a n d i ɡ aː l a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1913.wav,unknown,ə n p k r a k y l a t i p o s t y x b ɔ t a k r i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1988.wav,unknown,v e m e t u ŋ k k r a z n oɪ p a s o n d o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1706.wav,unknown,s e d i z o r k n a v i b a t e l d i tʃ n y ç 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1331.wav,unknown,d a n m a ʃ e n i o ɡ o t i t i p u l o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1084.wav,unknown,r e ʒ i a k t r a n m a t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1268.wav,unknown,l a s k a v i z ʌ v e k r i ʃ 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1824.wav,unknown,e t a v o l a n e v i k r a a t n a i n t e k k r e s n aɪ p o t i f e s s t v e e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1934.wav,unknown,p k r a d o k t e b e z l a k t o z e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1767.wav,unknown,p k r e s t i d o k t r o ɡ i x k r a d i s e m a v o s e m b e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1867.wav,unknown,i z r i n i e n i o s i l e s a l s t i n b e m o ʒ e ʃ p ʌ t e k i tʃ 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1700.wav,unknown,p a m o l ʒ a ʃ m y ɲ e s e t e p p k r aɪ a k t a m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1554.wav,unknown,k a ŋ ɡ u d a t e b e u n d o b o n a z e t i k a m ɲ e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1230.wav,unknown,l oː t ʌ d n a j z z i m m a θ 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1300.wav,unknown,n i ŋ ɡ a s e f k r a v a ʒ o d a j ʃ e j a v a l s n a f ts j o ʒ ø z z ɪ m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1925.wav,unknown,u k e d e t o n e k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1068.wav,unknown,e n o p u v f a m m o k e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1536.wav,unknown,k ʌ ʎ o t s k o s p e f n i ʒ e r z i n i e t a t b a l a n s s 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1382.wav,unknown,t j a m n a j a q o m n o t a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1854.wav,unknown,t u p o l o tʃ i l m a j o s e v ʃ e n i e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1480.wav,unknown,j a k p k a j e y z y v e z i t a 
